id,departement-nom,titulaire-profession,titulaire-soutien,date,titulaire-soutien-harmo
EL009_L_1958_11_031_05_2_PF_03,Haute-Garonne,propriétaire exploitant,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_06_2_PF_01,Haute-Garonne,non mentionné,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_031_06_2_PF_02,Haute-Garonne,exploitant forestier,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_06_2_PF_03,Haute-Garonne,non mentionné,Républicain radical-socialiste,30/11/1958,Parti radical / radical-socialiste
EL009_L_1958_11_031_06_2_PF_04,Haute-Garonne,dessinateur,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_033_01_2_PF_01,Gironde,directeur Organisation d'aide économique et sociale Ministère des Affaires économiques,Centre national des indépendants,30/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_01_2_PF_02,Gironde,commandant,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_033_01_2_PF_03,Gironde,chef de division Caisse d'épargne,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_033_01_2_PF_04,Gironde,électricien,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_033_10_2_PF_01,Gironde,non mentionné,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_033_10_2_PF_02,Gironde,propriétaire viticulteur,non mentionné,30/11/1958,Non mentionné
EL009_L_1958_11_033_10_2_PF_03,Gironde,travaille pour gagner sa vie,Jeunesses indépendantes et paysannes,30/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_02_2_PF_01,Gironde,menuisier,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_033_02_2_PF_02,Gironde,général armée aérienne,Union des jeunes combattants des résistants des patriotes,30/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_02_2_PF_03,Gironde,non mentionné,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_033_03_2_PF_01,Gironde,avocat Cour,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_033_03_2_PF_02,Gironde,capitaine parachutistes coloniaux,Union des jeunes combattants des résistants des patriotes,30/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_03_2_PF_03,Gironde,professeur enseignement général cours professionnels Collège technique,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_033_03_2_PF_04,Gironde,cheminot,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_033_04_2_PF_01,Gironde,pharmacien,aucun parti politique,30/11/1958,Sans parti
